Estate_Name,District_Name,Region_Name,Map_Latitude,Map_Longitude,Type_of_Estate,Year_of_Intake,Type_of_Block,No_of_Blocks,Name_of_Block,No_of_Rental_Flats,Flat_Size_m2,Estate_Management_Advisory_Committee_EMAC,District_Tenancy_Management_Office_Estate_Office,Property_Management,Carpark_Management,Estate_Website,Further_Information,Estate_Name match,No. of PRH Flats,Authorized Population,Households
Pok Hong Estate,Sha Tin,New Territories,22.37493,114.19191,Tenants Purchase Scheme,1982,Double H  Old Slab  Trident 2,8,Pok Tai House Pok Chi House Pok Man House Pok On House Pok Tat House Pok Yue House Pok Wah House Pok Yat House,600 * As at 30.6.2025,Gross Floor Areas (sqm): 33.6 - 93.9: Saleable Areas (sqm): 25.7 - 71.8,Not applicable (Owners' Corporation Formed),Tai Po  North & Shatin District Tenancy Management Office (2) Market Podium  Pok Hong Estate  Shatin Telephone :  2648 1312 Fax  :  2649 1648   Tenants Service Management Office: China Overseas Property Services Ltd.   Unit 2-3  G/F  Pok Yat House  Pok Hong Estate  Shatin Telephone  :  2647 0815 Fax :  2653 3723,Appointed by Owners' Corporation,Yue Xiu APT Parking Ltd 28/F  Seabright Plaza  9-23 Shell St  North Point Telephone: 2512 9611 Fax: 2512 9617,,* Includes flats  households and authorized population under Public Rental Housing only,Pok Hong,600,1400,600
Cheung Shan Estate,Tsuen Wan,New Territories,22.37898,114.13121,Public Rental Housing,1978,Old Slab  Twin Tower,3,Lok Shan House Sau Shan House Tsui Shan House,1 600 As at 30.6.2025,33.1 - 54.9,Formed,Lei Muk Shue Estate Office Wing A & Wing C   Kwai Shue House   Lei Muk Shue (2) Estate  Tsuen Wan. Telephone: 2423 7458/2423 7680 Fax: 2494 8207/2423 6854,Pioneer Management Ltd Cheung Shan Estate Office G/F  Sau Shan House  Cheung Shan Estate  Tsuen Wan Telephone: 2493 5227 Fax: 2415 3770,Amano Parking Service Limited  Rm. E  6/F Selwyn Factory Building  404 Kwun Tong Road  Kwun Tong  Kowloon  Telephone: 2570 5690  Fax:  2555 7911  Email: info@amano.com.hk.,-,<a href= /en/common/pdf/global-elements/estate-locator/CheungShanEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Cheung Shan,1600,4600,1600
Shek Kip Mei Estate,Sham Shui Po,Kowloon,22.33266,114.1653,Public Rental Housing,1976  2006  2012  2019,New Slab  Non Standard,21,Block 19 - Block 24  Block 42 - Block 44  (Shek Kip Mei Phase 1) Mei Yue House Mei Ying House   (Shek Kip Mei Phase 2 & 5) Mei Leong House Mei Sang House Mei Shing House Mei Wui House Mei Yick House Mei Yin House  (Shek Kip Mei Phase 3 & 7) Mei Kwai House Mei Cheong House  (Shek Kip Mei Phase 6) Mei Hei House Mei Pak House,10 800 As at 30.6.2025,14.05 - 55.7,Formed,Shek Kip Mei Estate Office Podium  Block 44  Shek Kip Mei Estate   Woh Chai Street  Sham Shui Po Telephone: 2777 0280 (24-Hr Telephone: 2784 1391) Fax: 2776 8377,(Block 19 -24  42-44 and Shek Kip Mei Phase 1) Shek Kip Mei Estate Office Podium  Block 44  Shek Kip Mei Estate   Woh Chai Street  Sham Shui Po Telephone: 2777 0280  (24-Hr Telephone: 2784 1391) Fax: 2776 8377  (Shek Kip Mei Phase 2  3  5  6 & 7) Nice Property Management Limited 2/F.  Mei Shing House  Woh Chai Street  Sham Shui Po Telephone  : 2788 3120 Fax : 2788 3161,(Block 44  Shek Kip Mei Estate) YUE XIU APT PARKING LIMITED Room 2102  21/F.  SUP Tower  75-83 King’s Road  North Point  Hong Kong Tel: 3598 9278 Fax: 2523 7892 Email: info@yuexiuproperty.com  (Carpark under Shek Kip Mei Phase 2  3  5  6 & 7) Nice Property Management Limited 2/F.  Mei Shing House  Woh Chai Street  Sham Shui Po Telephone  : 2788 3120 Fax : 2788 3161,-,<a href= /en/common/pdf/global-elements/estate-locator/ShekKipMeiEstate-barrier-free-en2.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Shek Kip Mei,10800,25300,10400
Pak Tin Estate,Sham Shui Po,Kowloon,22.33717,114.16755,Public Rental Housing,1975,Harmony 1  Harmony 3  Non-standard  New Harmony 1 Annex 5   Small Household  Non-standard Block,19,Chak Tin House Fu Tin House On Tin House Shing Tin House Tsui Tin House Yue Tin House Cheung Tin House Shui Tin House Yun Tin House Lai Tin House Wan Tin House Tai Tin House Hong Tin House Kin Tin House Wing Tin House Sum Tin House Long Tin House Ching Tin House Nga Tin House,9 300 As at 30.6.2025,12.09 - 52.28,Formed,Pak Tin Estate Office  LG1  Kin Tin House  Pak Tin Estate   Sham Shui Po  Kowloon Telephone: 2777 9883 (24-Hr Telephone: 2788 4919) Fax: 2776 8386,Pak Tin Estate Office  (Excluding Shui Tin  Cheung Tin & Shing Tin Houses) LG1  Kin Tin House  Pak Tin Estate   Sham Shui Po  Kowloon Telephone: 2777 9883 (24-Hr Telephone: 2788 4919) Fax: 2776 8386   Pioneer Management Ltd. (for Shui Tin  Cheung Tin & Shing Tin Houses only) G/F  On Tin House  Pak Tin Estate  Sham Shui Po Telephone: 2779 4153 (24-Hr Telephone 2779 5414) Fax: 2779 4500,YUE XIU APT PARKING LIMITED Room 2102  21/F.  SUP Tower  75-83 King's Road  North Point  Hong Kong Tel: 3598 9278 Fax: 2523 7892 Email: info@yuexiuproperty.com,-,<a href= /en/common/pdf/global-elements/estate-locator/PakTinEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Pak Tin,9300,23300,8900
Nam Shan Estate,Sham Shui Po,Kowloon,22.33446,114.17122,Public Rental Housing,1977,New Slab,8,Nam Yat House Nam Fung House Nam Lok House Nam Ming House Nam On House Nam Tai House Nam Wai House Nam Yiu House,2 900 As at 30.6.2025,23.1 - 46.5,Formed,Nam Shan Estate Office G/F  Nam On House  Nam Shan Estate  Sham Shui Po Telephone: 2777 3161 Fax: 2776 8371,Nam Shan Estate Office G/F  Nam On House  Nam Shan Estate  Sham Shui Po Telephone: 2777 3161 Fax: 2776 8371   Nam Shan Shopping Centre China Overseas Property Services Limited G20  G/F  Nam On House  Nam Shan Estate  Kowloon Telephone: 2784 6702  Fax: 2784 0634,Yue Xiu APT Parking Limited 27/F.  Seabright Plaza  9-23 Shell Street  North Point  Hong Kong Telephone: 2512 9611 Fax: 2512 9617,-,<a href= /en/common/pdf/global-elements/estate-locator/NamShanEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Nam Shan,2900,6600,2700
Tin Wan Estate,Southern,Hong Kong Island,22.25198,114.15047,Public Rental Housing,1997,Harmony 1  Non-standard,5,Tin Chak House Tin Hong House Tin Kin House Tin Lai House Housing For Senior Citizen,3 200 As at 30.6.2025,12.3 - 49.0,Formed,Hong Kong District Tenancy Management office  Wah Fu (II) Sub-office G/F  No. 21-34  Wah Hing House  Wah Fu(II) Estate  Hong Kong. Telephone: 2551 0660 Fax: 2875 5153,Creative Property Services Consultants Ltd.  G/F  Tin Lai House  Tin Wan Estate  Aberdeen Telephone: 2538 5016  Fax: 2538 7002,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/TinWanEstate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities </a>,Tin Wan,3200,8000,3000
On Ting Estate,Tuen Mun,New Territories,22.3879,113.97684,Public Rental Housing,1980,Double H  Old Slab,6,Ting Cheung House Ting Fuk House Ting Hong House Ting Lung House Ting Tai House Ting Tak House,5 100 As at 30.6.2025,23.1 - 57.6,Formed,On Ting Estate Office Unit 421-440  Ting Cheung House  On Ting Estate  Tuen Mun Telephone: 3499 1841 Fax: 3499 1717,On Ting Estate Office Unit 421-440  Ting Cheung House  On Ting Estate  Tuen Mun Telephone: 3499 1841 Fax: 3499 1717,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/OnTingEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,On Ting,5100,10900,5000
Fortune Estate,Sham Shui Po,Kowloon,22.33548,114.15388,Public Rental Housing,2000,Harmony 1  Special Harmony Block  Small Household Block,3,Fook Ming House Fook Yuet House Fook Yat House,2 100 As at 30.6.2025,16.3 - 43.7,Formed,Kowloon West & Sai Kung District Tenancy Management Office(3) G/F  Lai Mei House  Lai Kok Estate  Sham Shui Po Tel: 2361 0070  (24-Hr Telephone 2204 1027) Fax: 2148 2463,Pioneer Management Ltd. G/F  Fook Yuet House  Fortune Estate  Shamshuipo Telephone: 2204 1027  Fax: 2204 1051,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/FortuneEstate3-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Fortune,2100,4500,2100
Butterfly Estate,Tuen Mun,New Territories,22.37593,113.96182,Public Rental Housing,1983,Ziggurat,6,Tip Chui House Tip Ling House Tip Mo House Tip Sum House Tip Yee House Tip Ying House,5 400 As at 30.6.2025,24.9 - 24.9,Formed,Butterfly Estate Office G/F  Tip Chui House  Butterfly Estate  Tuen Mun Telephone: 2463 6271 Fax: 2464 7549,Butterfly Estate Office G/F  Tip Chui House  Butterfly Estate  Tuen Mun Telephone: 2463 6271 Fax: 2464 7549,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/ButterflyEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Butterfly,5400,10400,5200
Tin Ching Estate,Yuen Long,New Territories,22.4629,114.00347,Public Rental Housing,2008  2010,Non-standard,7,Ching Choi House Ching Wan House Ching Pik House Ching Hoi House Ching Moon House Ching Hei House Ching Yuet House,6 200 As at 30.6.2025,17.64 - 39.67,Formed,Yuen Long District Tenancy Management Office (4) 1/F.  Ancillary Facilities Block  Tin Yuet Estate  Tin Shui Wai Yuen Long Telephone: 2448 8863 Fax: 2448 8121,Kai Fu Property Services Co. Ltd. G/F  Ching Pik House  Tin Ching Estate  Tin Shui Wai Telephone: 3401 8578 Fax: 3401 8468,Kai Fu Property Services Co. Ltd. G/F  Ching Pik House  Tin Ching Estate  Tin Shui Wai Telephone: 3401 8578 Fax: 3401 8468,,<a href= /en/common/pdf/global-elements/estate-locator/TinChingEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Tin Ching,6200,15100,6100
Tin Heng Estate,Yuen Long,New Territories,22.47059,113.99895,Public Rental Housing,2001,Concord 1  Harmony 1  New Cruciform,14,Heng Chi House Heng Cheuk House Heng Fai House Heng Chui House Heng Kwai House Heng Kin House Heng Lai House Heng Moon House Heng Chun House Heng Lok House Heng Tung House Heng Fu House Heng Wan House Heng Yan House,5 800 As at 30.6.2025,31.7 - 53.8,Formed,Tin Heng Estate Office G/F  Heng Wan House  Tin Heng Estate  Tin Shui Wai Telephone: 2486 5000 Fax: 2486 5008,Tin Heng Estate Office G/F  Heng Wan House  Tin Heng Estate  Tin Shui Wai Telephone: 2486 5000 Fax: 2486 5008,Yue Xiu APT Parking Ltd 28/F  Seabright Plaza  9-23 Shell St  North Point Telephone: 2512 9611 Fax: 2512 9617 E-mail: yxaptsunny@biznetvigator.com,-,<a href= /en/common/pdf/global-elements/estate-locator/TinHengEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Tin Heng,5800,19800,5700
Tin Shui (2) Estate,Yuen Long,New Territories,22.45439,113.99914,Public Rental Housing,1993,Harmony 1  Harmony 2,5,Shui Fai House Shui Fung House Shui Lam House Shui Moon House Shui Yip House,3 200 As at 30.6.2025,16.9 - 52.7,Formed,Tin Shui (2) Estate Office G/F  Shui Fai House  Tin Shui (2) Estate  Tin Shui Wai Telephone: 2445 1645 Fax: 2616 9356,Tin Shui (2) Estate Office G/F  Shui Fai House  Tin Shui (2) Estate  Tin Shui Wai Telephone: 2445 1645 Fax: 2616 9356,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/TinShui2Estate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Tin Shui (II),3200,9300,3200
Sai Wan Estate,Central & Western,Hong Kong Island,22.28096,114.12521,Public Rental Housing,1958,Old Slab,5,Centre Terrace East Terrace North Terrace South Terrace West Terrace,600 As at 30.6.2025,35.5 - 56.3,Formed,Hong Kong District Tenancy Management office  Wah Fu (II) Sub-office G/F  No. 21-34  Wah Hing House   Wah Fu (II) Estate  Pokfulam  Hong Kong  Tel : 2551 0660 Fax : 2875 5153,Kai Fu Property Services Company Limited 5/F  North Terrace  Sai Wan Estate  Ka Wai Man Road  Kennedy Town  Hong Kong Telephone: 2817 2054  (24-Hr Telephone: 2816 2734) Fax: 2872 0938,Modern Living Property Management Ltd. 5/F  North Terrace  Sai Wan Estate  Ka Wai Man Road  Kennedy Town  Hong Kong Telephone: 2817 2054  (24-Hr Telephone: 2816 2734) Fax: 2872 0938,-,<a href= /en/common/pdf/global-elements/estate-locator/SaiWanEstate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities </a>,Sai Wan,600,1900,600
Hing Tung Estate,Eastern,Hong Kong Island,22.28155,114.21929,Public Rental Housing,1996,Harmony 1,4,Hing Cho House Hing Fung House Hing Hong House Tung Lam Court (Hsc),2 100 As at 30.6.2025,11.8 - 43.3,Formed,Hong Kong District Tenancy Management Office Oi Tung Sub Office 6/F.  Oi Sin House   Oi Tung Estate   Shaukeiwan  Hong Kong Tel : 3160 4291 Fax : 3160 4290,Creative Property Services Consultants Ltd.  (including Housing for Senior Citizen at Tung Lam Court) G/F  Hing Hong House  Hing Tung Estate  Shau Kei Wan Telephone: 2567 8846 Fax: 2568 2695,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/HingTungEstate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities </a>,Hing Tung,2100,5800,2100
Choi Hung Estate,Wong Tai Sin,Kowloon,22.33394,114.20742,Public Rental Housing,1962,Old Slab,11,Chui King House Chi Mei House Hung Ngok House Kam Hon House Kam Wan House Kam Pik House Kam Wah House Luk Ching House Pik Hoi House Pak Suet House Tan Fung House,7 400 As at 30.6.2025,24.1 - 69.2,Formed,Housing Department Choi Hung Estate Office 101-119  Chui King House  Choi Hung Estate  Kowloon Telephone: 2320 3066 Fax: 2351 9340,Housing Department Choi Hung Estate Office 101-119  Chui King House  Choi Hung Estate  Kowloon Telephone: 2320 3066 Fax: 2351 9340,Amano Parking Service Limited  Rm. E  6/F Selwyn Factory Building  404 Kwun Tong Road  Kwun Tong  Kowloon  Telephone: 2570 5690  Fax:  2555 7911  Email: info@amano.com.hk.,-,<a href= /en/common/pdf/global-elements/estate-locator/ChoiHungEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access(BFA) Facilities</a>,Choi Hung,7400,17500,7300
High Prosperity Terrace,Kwai Tsing,New Territories,22.36482,114.12277,Public Rental Housing,2003,Non-standard,2,Tower 1 Tower 2,800 As at 30.6.2025,34.3 - 48.9,Formed,Kwai Chung Estate Office (1) G/F  Ha Kwai House  Kwai Chung Estate T : 3617 9201 F : 3617 9200,Modern Living Property Management Limited G/F  Tower 1  High Prosperity Terrace  188 Kwai Shing Circuit  Kwai Chung Telephone: 2615 0690 Fax: 2615 0183 Web site: http://www.modernliving.com.hk  Pioneer Management Limited. G/F  Tower 2  High Prosperity Terrace  188 Kwai Shing Circuit  Kwai Chung Telephone: 2409 9083 Fax: 2409 9490,Modern Living Property Management Limited G/F  Tower 1  High Prosperity Terrace  188 Kwai Shing Circuit  Kwai Chung Telephone: 2615 0690 Fax: 2615 0183 Web site: http://www.modernliving.com.hk,-,<a href= /en/common/pdf/global-elements/estate-locator/HighProsperityTerrace-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities</a>,High Prosperity Terrace,800,2600,800
Tsz Lok Estate,Wong Tai Sin,Kowloon,22.34891,114.19884,Public Rental Housing,1995 - 2004,Harmony 1  Harmony 3  Non-standard  Small Household Block,11,Lok Cheung House Lok Tin House Lok Hop House Lok Moon House Lok On House Lok Shing House Lok Shun House Lok Wong House Lok Yan House Lok Foon House Ancillary Facilities Block,6 200 As at 30.6.2025,10.7 - 52.2,Formed,Tsz Wan Shan District Tenancy Management Office Unit 211-224  Ban Fung House  Fung Tak Estate  Tsz Wan Shan Telephone: 2324 0096 Fax: 2752 8665,Pioneer Management Ltd G/F  Lok Cheung House  Tsz Lok Estate  Tsz Wan Shan Telephone: 2323 1787 Fax: 2351 9458,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/TszLokEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Tsz Lok,6200,16600,6100
Kwong Yuen Estate,Sha Tin,New Territories,22.38123,114.21415,Tenants Purchase Scheme,1989,Trident 3  Trident 4,6,Alder House Banyan House Cypress House Kapok House Oak House Pine House,700 * As at 30.6.2025,Gross Floor Areas (sqm):18.4 - 71.8; Saleable Areas (sqm):13.9 - 55.6,Not applicable (Owners' Corporation Formed),Tai Po  North & Shatin District Tenancy Management Office (10) G/F  Sha Kok Community Hall  Sha Kok Estate  Shatin  Telephone :  2647 1311 Fax  :  2637 5251   Kwong Yuen Estate Tenants Service Management Office China Overseas Property Services Ltd.  Unit 3A  Ground Floor  Main A Pine House  Kwong Yuen Estate  Shatin  N.T. Telephone :  2646 1801 Fax  :  2636 4989,Appointed by Owners' Corporation,Owned and operated by private corporation,-,* Includes flats  households and authorized population under Public Rental Housing only,Kwong Yuen,700,1300,700
Lek Yuen Estate,Sha Tin,New Territories,22.38474,114.19059,Public Rental Housing,1975,Old Slab,7,Fook Hoi House Fu Yu House Kwai Wo House Luk Chuen House Sau Chuen House Wah Fung House Wing Shui House,3 200 As at 30.6.2025,22.7 - 52.6,Formed,Lek Yuen Estate Office 1/F  Fook Hoi House  Lek Yuen Estate  Shatin Telephone :  2691 7128 Fax  :  2601 0989,Lek Yuen Estate Office 1/F  Fook Hoi House  Lek Yuen Estate  Sha Tin Telephone: 2691 7128 Fax: 2601 0989,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/LekYuenEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Lek Yuen,3200,7500,3200
Ma Tau Wai Estate,Kowloon City,Kowloon,22.32392,114.1866,Public Rental Housing,1962,Old Slab,5,Geranium House Hibiscus House Magnolia House Narcissus House Rose House,2 100 As at 30.6.2025,26.9 - 53.8,Formed,Kowloon West & Sai Kung District Tenancy Management Office(4) G/F  Nga Man House  Homantin Estate  Kowloon Tel: 2242 0277 Fax: 2194 1305,Nice Property Management Limited G/F  Rose House  Ma Tai Wai Estate  Kowloon City Telephone: 2715 6683 Fax: 2768 7446,Yue Xiu APT Parking Limited 27/F.  Seabright Plaza  9-23 Shell Street  North Point  Hong Kong Telephone: 2512 9611 Fax: 2512 9617,,<a href= /en/common/pdf/global-elements/estate-locator/MaTauWaiEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Ma Tau Wai,2100,5000,2100
Shek Yam Estate,Kwai Tsing,New Territories,22.37166,114.13921,Public Rental Housing,2000,Harmony 1  Non-Standard  Small Household Block,4,Chi Shek House Yan Shek House Yung Shek House Lai Shek House,2 700 As at 30.6.2025,16.3 - 52.2,Formed,Sheung Kwai Chung District Tenancy Management Office Unit D  Podium Floor  Shek Yam Shopping Centre  Kwai Chung T : 2421 2426 F : 2276 0132,China Overseas Property Services Limited  Unit A  G/F  Yung Shek House  Shek Yam Estate  Kwai Chung  N.T. Telephone : 2276 0971 Fax : 2276 5780 Website : www.copl.com.hk,Shek Yam Shopping Centre Carpark Owned and operated by private corporation  Lai Shek House Carpark Amano Parking Service Limited  Address: Rm. E  6/F Selwyn Factory Building  404 Kwun Tong Road  Kwun Tong  Kowloon  T: 2570 5690  F: 2555 7911  Email: info@amano.com.hk,-,<a href= /en/common/pdf/global-elements/estate-locator/ShekYamEstate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities</a>,Shek Yam,2700,7400,2600
Chak On Estate,Sham Shui Po,Kowloon,22.33966,114.16472,Public Rental Housing,1983,Old Slab  Single I,4,Fu Chak House Lai Chak House Wing Chak House Wah Chak House,1 900 As at 30.6.2025,11.3 - 39.1,Formed,Chak On Estate Office 17A-24  G/F  Wah Chak House  Chak On Estate  Sham Shui Po Telephone: 2778 2628  (24-Hr Telephone: 2994 1873) Fax: 2778 0709,Chak On Estate Office 17A-24  G/F  Wah Chak House  Chak On Estate  Sham Shui Po Telephone: 2778 2628  (24-Hr Telephone: 2994 1873) Fax: 2778 0709,Yue Xiu APT Parking Limited Room 2102  21/F.  SUP Tower  75-83 King's Road  North Point  Hong Kong Tel: 3598 9278 Fax: 2523 7892 Email: info@yuexiuproperty.com,-,<a href= /en/common/pdf/global-elements/estate-locator/ChakOnEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Chak On,1900,3700,1800
Cheung Lung Wai Estate,North,New Territories,22.49495,114.12351,Public Rental Housing,2015,Non-standard Domestic Block,2,Ching Cheung House King Cheung House,1 400 As at 30.6.2025,14.36 – 36.57,Formed,Tai Po  North & Shatin District Tenancy Management Office (6) No. 8  G/F  Tin Long House  Tin Ping Estate  Sheung Shui  N.T. Telephone : 3698 0061 Fax : 3698 0060,Creative Property Services Consultants Limited G/F  King Cheung House  Cheung Lung Wai Estate  Sheung Shui  N.T. Telephone : 2670 1997 Fax : 2670 1996 Web site : www.cpsc.hk,Creative Property Services Consultants Limited G/F  King Cheung House  Cheung Lung Wai Estate  Sheung Shui  N.T. Telephone : 2670 1997 Fax : 2670 1996 Web site : www.cpsc.hk,-,<a href= /en/common/pdf/global-elements/estate-locator/cheunglungwaiestate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities</a>,Cheung Lung Wai,1400,3500,1300
Long Ching Estate,Yuen Long,New Territories,22.446522,114.02864,Public Rental Housing,2016,Non-standard,2,Yat Long House Ching Long House,400 As at 30.6.2025,14.05 - 36.67,Not Yet Formed,Yuen Long District Tenancy Management Office (1) G/F  Chuen Shui House  Shui Pin Wai Estate  Yuen Long Telephone: 2442 2461 Fax: 2477 3284,Unimax Property Consultancy Ltd. 1/F  Ching Long House  Long Ching Estate  Yuen Long Telephone: 2451 6122 Fax: 2451 6255,Unimax Property Consultancy Ltd. 1/F  Ching Long House  Long Ching Estate  Yuen Long Telephone: 2451 6122 Fax: 2451 6255,,<a href= /en/common/pdf/global-elements/estate-locator/LongChingEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Long Ching,400,1000,400
Lei Yue Mun Estate,Kwun Tong,Kowloon,22.29491,114.23978,Public Rental Housing,2002  2007  2016,Harmony 1  Non-standard,5,Lei Sang House Lei Ye House Lei Hing House Lei Lung House Lei Wong House,3 600 As at 30.6.2025,14.2 - 43.3,Formed,Housing Department Lei Yue Mun Estate Office G/F  Lei Ye House  Lei Yue Mun Esate  Kowloon Telephone: 2246 5500 Fax: 2246 5510,Housing Department Lei Yue Mun Estate Office G/F  Lei Ye House  Lei Yue Mun Esate  Kowloon Telephone: 2246 5500 Fax: 2246 5510,Amano Parking Service Limited Rm. E  6/F Selwyn Factory Building  404 Kwun Tong Road  Kwun Tong  Kowloon Telephone: 2117 7076 Fax: 2555 7911 Email: info@amano.com.hk,,<a href= /en/common/pdf/global-elements/estate-locator/LeiYueMunEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>.,Lei Yue Mun,3600,9100,3600
Shun Lee Estate,Kwun Tong,Kowloon,22.33163,114.22553,Public Rental Housing,1978,Old Slab  Twin Tower,7,Lee Yat House Lee Cheung House Lee Foo House Lee Hong House Lee Ming House Lee Hang House Lee Yip House,4 500 As at 30.6.2025,27.8 - 39.9,Formed,Housing Department Kowloon East (5) District Tenancy Management G/F  Lee Foo House  Shun Lee Estate  Kwun Tong  Kowloon Telephone: 2341 8286 Fax: 2763 6066,Easy Living Consultant Limited G/F  Lee Foo House  Shun Lee Estate  Kwun Tong  Kowloon Telephone: 2341 8286 Fax: 2169 0811,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/ShunLeeEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Shun Lee,4500,11000,4400
Yee Ming Estate,Sai Kung,New Territories,22.30624,114.26326,Public Rental Housing,2014,Non-standard Block,3,Yee Yan House Yee Yuet House Yee Ching House,2 100 As at 30.6.2025,14.05 - 37.47,Formed,Kowloon West & Sai Kung District Tenancy Management Office(10) G/F.  Kin Hei House  Kin Ming Estate  Tseung Kwan O Telephone : 2706 8201 Fax : 2701 0570,Good Yield Property Management Limited G/F  Yee Yan House  Yee Ming Estate  Tseung Kwan O Telephone : 2331 3569 Fax : 2331 3935,Good Yield Property Management Limited G/F  Yee Yan House  Yee Ming Estate  Tseung Kwan O Telephone : 2331 3569 Fax : 2331 3935,-,<a href= /en/common/pdf/global-elements/estate-locator/YeeMingEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Yee Ming,2100,5100,2000
Shui Chuen O Estate,Sha Tin,New Territories,22.37212,114.19826,Public Rental Housing,2015,Non Standard,18,Ching Chuen House Long Chuen House Yan Chuen House Hei Chuen House Lok Chuen House Shing Chuen House Ho Chuen House Ming Chuen House Yuet Chuen House Ying Chuen House Mau Chuen House Lam Chuen House Shou Chuen House Chuk Chuen House Sung Chuen House Shan Chuen House Tsun Chuen House Ling Chuen House,11 100 As at 30.6.2025,14.05 - 36.95,Not Yet Formed,(Ching Chuen  Long Chuen  Yan Chuen  Hei Chuen  Lok Chuen  Shing Chuen  Ho Chuen  Ming Chuen  Yuet Chuen and Ying Chuen House) Shui Chuen O Estate Office. P1/F  South Wing  Shui Chuen O Plaza  Shatin  N.T. Telephone: 2661 3828 Fax: 2661 8031  (Mau Chuen  Lam Chuen  Shou Chuen  Chuk Chuen  Sung Chuen  Shan Chuen  Tsun Chuen and Ling Chuen House) Shui Chuen O Estate Office (Sub-office) G/F  Sung Chuen House   Shui Chuen O Estate  Shatin  N.T. Telephone: 2868 2052 Fax: 2868 2346,(Ching Chuen  Long Chuen  Yan Chuen  Hei Chuen  Lok Chuen  Shing Chuen  Ho Chuen  Ming Chuen  Yuet Chuen and Ying Chuen House) Shui Chuen O Estate Office P1/F  South Wing  Shui Chuen O Plaza  Shatin  N.T. Telephone: 2661 3828 Fax: 2661 8031  (Mau Chuen  Lam Chuen  Shou Chuen  Chuk Chuen  Sung Chuen  Shan Chuen  Tsun Chuen and Ling Chuen House) Shui Chuen O Estate Office (Sub-office) G/F  Sung Chuen House   Shui Chuen O Estate  Shatin  N.T. Telephone: 2868 2052 Fax: 2868 2346,Pacific Extend Properties Management Limited 2/F  South wing  Shui Chuen O Plaza  Shatin  N.T.  Telephone: 3709 8645 Fax: 3709 8644,-,<a href= /en/common/pdf/global-elements/estate-locator/ShuiChuenOEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Shui Chuen O,11100,27800,11000
